date,party,approve,disapprove
3/28/2020,R,85.36964,12.42568
3/28/2020,I,46.06472,46.78419
3/27/2020,I,46.06472,46.78419
3/27/2020,all,49.5897,46.63401
3/27/2020,R,85.36964,12.42568
3/27/2020,D,20.98738,75.67297
3/26/2020,R,85.54511,12.22322
3/26/2020,D,20.96828,75.72034
3/26/2020,all,49.63803,46.58516
3/26/2020,I,46.08246,46.74518
3/25/2020,all,49.7131,46.1678
3/25/2020,I,46.24343,46.78221
3/25/2020,D,21.10941,75.31313
3/25/2020,R,85.54736,11.968
3/24/2020,all,49.23752,46.332
3/24/2020,I,45.8362,46.60226
3/24/2020,R,85.24707,12.12342
3/24/2020,D,21.41203,74.8215
3/23/2020,D,21.55347,73.82361
3/23/2020,all,48.73048,46.01105
3/23/2020,I,45.95383,46.68736
3/23/2020,R,85.83202,10.72082
3/22/2020,all,48.09746,46.16106
3/22/2020,I,44.96327,46.96952
3/22/2020,R,85.12157,11.05162
3/22/2020,D,21.01003,73.82213
3/21/2020,all,46.52345,46.76443
3/21/2020,D,18.9409,75.0639
3/21/2020,I,44.06611,45.48122
3/21/2020,R,84.4166,11.06131
3/20/2020,D,18.9409,75.0639
3/20/2020,I,44.06611,45.48122
3/20/2020,all,46.52345,46.76443
3/20/2020,R,84.4166,11.06131
3/19/2020,R,84.25689,11.14524
3/19/2020,all,46.37033,46.88491
3/19/2020,D,18.61742,75.46741
3/19/2020,I,43.6495,45.73281
3/18/2020,R,83.02334,12.42957
3/18/2020,all,44.8862,48.58893
3/18/2020,D,16.56148,78.17043
3/18/2020,I,41.88293,46.96523
3/17/2020,D,15.93327,78.6246
3/17/2020,I,40.7688,47.49585
3/17/2020,all,44.38516,48.95124
3/17/2020,R,82.80448,12.4597
3/16/2020,R,82.85318,11.96639
3/16/2020,I,40.22614,47.46221
3/16/2020,D,14.79079,79.3261
3/16/2020,all,43.88717,49.0646
3/15/2020,all,43.98315,48.80058
3/15/2020,D,15.12768,78.77473
3/15/2020,I,40.2639,46.95118
3/15/2020,R,83.10537,11.78995
3/14/2020,D,13.7871,79.58198
3/14/2020,all,43.4521,49.09134
3/14/2020,I,38.7824,47.74377
3/14/2020,R,82.54643,11.89394
3/13/2020,R,82.20649,11.8823
3/13/2020,D,13.77926,78.91908
3/13/2020,all,43.45163,49.09423
3/13/2020,I,39.10692,47.43478
3/12/2020,all,43.16972,48.739
3/12/2020,D,13.95845,78.0076
3/12/2020,I,38.85675,47.11414
3/12/2020,R,82.34178,11.52723
3/11/2020,R,81.95955,11.1528
3/11/2020,I,37.71305,46.64754
3/11/2020,all,42.29969,49.0095
3/11/2020,D,14.5282,78.27158
3/10/2020,R,81.68439,11.11598
3/10/2020,I,37.98592,46.30633
3/10/2020,all,42.31873,47.46267
3/10/2020,D,13.98956,78.5371
3/9/2020,D,14.0151,78.38747
3/9/2020,all,42.34501,47.45365
3/9/2020,R,81.57394,11.32758
3/9/2020,I,37.14943,47.03231
3/8/2020,all,42.43144,47.1093
3/8/2020,R,81.66932,10.86292
3/8/2020,I,37.4336,46.27357
3/8/2020,D,13.80473,78.24803
3/7/2020,R,80.15667,11.1448
3/7/2020,all,42.08604,45.39878
3/7/2020,I,38.23336,43.01685
3/7/2020,D,15.57754,74.7625
3/6/2020,R,80.57852,11.09188
3/6/2020,I,39.00039,40.66616
3/6/2020,D,17.32803,71.57773
3/6/2020,all,42.80269,43.73902
3/5/2020,all,42.80269,43.73902
3/5/2020,D,17.32803,71.57773
